,open,close,high,low,volume,money
2016-11-16,3432.43,3429.59,3435.64,3419.24,12980851100.0,128944599173.0
2016-11-17,3423.47,3436.53,3437.67,3412.88,12156173100.0,121576882948.0
2016-11-18,3437.49,3417.46,3443.12,3413.27,11595120500.0,117345607612.0
2016-11-21,3412.65,3441.11,3463.14,3412.08,14643452900.0,147542589349.0
2016-11-22,3443.22,3468.36,3469.22,3443.22,16852344600.0,167250665827.0
2016-11-23,3473.89,3474.73,3492.96,3465.76,16238850400.0,171247116196.0
2016-11-24,3468.81,3488.74,3508.16,3467.01,14574630100.0,165071453531.0
2016-11-25,3490.04,3521.3,3521.3,3463.95,15362150600.0,166832181108.0
2016-11-28,3538.68,3535.08,3553.36,3528.32,20737548300.0,219859766828.0
2016-11-29,3525.9,3564.04,3583.72,3521.38,23691835600.0,248322816339.0
2016-11-30,3557.64,3538.0,3567.07,3527.02,17856017800.0,190681227631.0
2016-12-01,3543.96,3565.04,3575.97,3543.24,18017076100.0,199637742998.0
2016-12-02,3559.77,3528.95,3562.55,3516.79,19635548000.0,203742147476.0
2016-12-05,3473.69,3469.41,3496.88,3457.34,18085235500.0,190175061733.0
2016-12-06,3466.24,3459.15,3477.59,3456.81,11552909000.0,125727753193.0
2016-12-07,3458.37,3475.75,3475.75,3445.76,11434510300.0,115282194223.0
2016-12-08,3481.81,3470.14,3484.34,3466.51,11738392200.0,119188508676.0
2016-12-09,3464.87,3493.7,3507.93,3461.76,15030330800.0,152674867707.0
2016-12-12,3489.27,3409.18,3495.8,3400.79,18746775100.0,199163540831.0
2016-12-13,3394.21,3405.04,3416.21,3370.6,12110509700.0,124454188749.0
2016-12-14,3399.41,3378.95,3412.28,3378.27,12400774400.0,126182669414.0
2016-12-15,3363.86,3340.43,3378.04,3327.14,11496066000.0,121507811540.0
2016-12-16,3335.36,3346.03,3356.29,3330.49,9077542200.0,98112206845.0
2016-12-19,3342.34,3328.98,3344.86,3325.0,8164067800.0,86095693838.0
2016-12-20,3328.3,3309.06,3329.1,3289.27,8756959200.0,88527345889.0
2016-12-21,3313.75,3338.54,3342.48,3313.75,10825499500.0,106205485213.0
2016-12-22,3335.12,3335.67,3340.36,3322.72,9227724900.0,92564877570.0
2016-12-23,3333.4,3307.6,3334.89,3300.88,9744471300.0,99575473231.0
